codeinsee;localisation;typepav;domaine;entourage;naturesol;datemaj;flux;longitude;latitude
35238;Rue Paul Féval (côté Prison);Aérien;Public;Sans;Enrobé;20080108;VE;-1.67517402517498;48.1017890025041
35208;PARKING RUE DU COTEAU;Aérien;Public;;;20080401;VE;-1.6707313984018;47.9949059634427
35238;Face au n° 14;Enterré;Public;Sans;Métal;20100105;OM-MM;-1.66417654176605;48.085353026281
35066;RUE DU TREGOR (collectifs);Aérien;Public;;;20080328;OM-MM-VE;-1.70466111107008;48.0351232313939
35206;RUE DE MOLENE;Aérien;Public;;;20080401;OM-MM;-1.67053233143598;48.0385430780536
35238;Rue Charles Géniaux (angle rue René Prévert);Aérien;Public;;;;MM;-1.71070926166661;48.110291195005
35238;Rue de la Croix Herpin (près abris bus);Aérien;Public;;;;VE;-1.65904161571792;48.1387858920881
35238;Rue du Maréchal de Lattre de Tassigny (angle rue Bourgault Ducoudray);Aérien;Public;Sans;;;VE;-1.68448620100729;48.1197109792807
35238;46  boulevard Albert 1er;Enterré;Public;Sans;Métal;;OM-MM;-1.67847789279775;48.0889165773671
35066;RUE DES FOURS A CHAUX;Aérien;Public;;;20080328;VE;-1.71414793654595;48.0436532632214
35238;Rue Guy Ropartz;Aérien;Public;;;20080107;VE;-1.65722894744804;48.128127601087
35275;ETANG DE LA MOTTE  (campagne);Aérien;Public;;;20080403;VE;-1.85652612363395;48.1420892161537
35238;Face au 10  allée de Varsovie;Enterré;Public;Sans;Métal;20100104;OM-MM-VE;-1.65087023896453;48.0841969724346
35278;SQUARE DU VIVIER LOUIS;Aérien;Public;;;20100908;VE;-1.68469825254667;48.1594211939605
35278;LES DRIADES  RUE DE LA BELLE EPINE;Aérien;Public;;;20090303;OM-MM;-1.69275221784369;48.1516166817132
35238;Avenue de la Vistule (angle rue de Varsovie);Aérien;Public;;;;VE;-1.64796131167439;48.0852309391318
35238;27  square des Hautes Chalais;Aérien;Privé;Palissade bois;Béton;;OM-MM;-1.67821740720411;48.0914916145086
35238;RUE DE COETQUEN (face au n°2);Enterré;Public;Sans;Métal;20100203;OM-MM-VE;-1.67889736219667;48.1110265630825
35189;Parking rue du Chêne Micault;Enterré;Public;Sans;Métal;20080904;OM-MM;-1.7161153216502;48.1543067624847
35055;RUE DU CHAMP D AHAUT /  RENE CASSIN;Aérien;Public;;;;OM-MM;-1.62395623039795;48.0914107124897
35275;RUE DES SPORTS PARKING DU CIMETIERE;Aérien;Public;;;20080403;VE;-1.8247991082042;48.1564630038664
35131;ALLEE DE LA SOURCE;Aérien;Public;;;20100304;VE;-1.80947756883326;48.1243957021601
